Name,Country,Status,Organisation,Date,Killed,Occupation,Latitude,Longitude
Abdallah Iyad Breis,Palestine,Confirmed,Rawafed educational channel,"January 8, 2024",Killed,Journalist,31.046051,34.851612
Abdul Rahman Bahr,Palestine,Confirmed,Palestine Breaking News,"October 5, 2024",Killed,Journalist,31.046051,34.851612
Abdul Rahman Saima,Palestine,Confirmed,Raqami TV,"March 14, 2024",Killed,Journalist,31.046051,34.851612
Abu Taher Md Turab,Bangladesh,Confirmed,"Daily Jalalabad, Daily Naya Diganta","July 19, 2024",Killed,Journalist,23.685,90.3563
Ahmed Abu Sharia,Palestine,Confirmed,Freelance,"November 19, 2024",Killed,Journalist,31.046051,34.851612
Ahmed Abu Skheil,Palestine,Confirmed,Freelance,"November 9, 2024",Killed,Journalist,31.046051,34.851612
Ahmed Al-Louh,Palestine,Confirmed,Freelance,"December 15, 2024",Killed,Journalist,31.046051,34.851612
Ahmed Bdeir,Palestine,Confirmed,Bawabat al-Hadaf,"January 10, 2024",Killed,Journalist,31.046051,34.851612
Akram ElShafie,Palestine,Confirmed,Safa,"January 5, 2024",Killed,Journalist,31.046051,34.851612
Alaa Al-Hams,Palestine,Confirmed,SND,"February 12, 2024",Killed,Journalist,31.046051,34.851612
Aladdin Ali Mohamed,Sudan,Confirmed,Wad Mandani Radio,"June 22, 2024",Killed,Media Worker,12.862807,30.217636
Albino Sibia (Mano Shottas),Mozambique,Confirmed,Freelance,"December 12, 2024",Killed,Journalist,-18.665695,35.529562
Alejandro Martínez Noguez,Mexico,Unconfirmed,El Hijo del Llanero Solitito,"August 4, 2024",Killed,Journalist,23.634501,-102.552784
AlHassan Hamad,Palestine,Confirmed,"Freelance, Al Jazeera, Media Town TV","October 6, 2024",Killed,Journalist,31.046051,34.851612
Amjad Juhjouh,Palestine,Confirmed,Freelance,"July 6, 2024",Killed,Journalist,31.046051,34.851612
Amr Abu Odeh,Palestine,Confirmed,Freelance,"October 31, 2024",Killed,Journalist,31.046051,34.851612
Anas Alkharboutli,Syria,Confirmed,dpa,"December 4, 2024",Killed,Journalist,34.802075,38.996815
Angam Ahmad Edwan,Palestine,Confirmed,February,"February 12, 2024",Killed,Journalist,31.046051,34.851612
Ashutosh Srivastava,India,Confirmed,Sudarshan TV,"May 13, 2024",Killed,Journalist,20.593684,78.96288
Ayman Al Gedi,Palestine,Confirmed,Al-Quds Al-Youm,"December 26, 2024",Killed,Journalist,31.046051,34.851612
Ayman Al-Gharbawi,Palestine,Confirmed,Freelance,"April 26, 2024",Killed,Journalist,31.046051,34.851612
Ayman Al-Rafati,Palestine,Confirmed,Al Mayadeen,"February 14, 2024",Killed,Journalist,31.046051,34.851612
Bahaaddine Yassine,Palestine,Confirmed,"Watan Media Agency, Al-Quds News Network","May 10, 2024",Killed,Journalist,31.046051,34.851612
Bilal Rajab,Palestine,Confirmed,Al-Quds Al-Youm,"November 1, 2024",Killed,Journalist,31.046051,34.851612
Fadi Hassouna,Palestine,Confirmed,Al-Quds Al-Youm,"December 26, 2024",Killed,Journalist,31.046051,34.851612
Faisal Abu Al Qumsan,Palestine,Confirmed,Al-Quds Al-Youm,"December 26, 2024",Killed,Journalist,31.046051,34.851612
Ghassan Najjar,Lebanon,Confirmed,Al-Mayadeen,"October 25, 2024",Killed,Journalist,33.854721,35.862285
Gulistan Tara,Iraq,Confirmed,Chatr Multimedia Production Company,"August 22, 2024",Killed,Journalist,33.3152,44.3661
Hamza Al Dahdouh,Palestine,Confirmed,Al-Jazeera,"January 7, 2024",Killed,Journalist,31.046051,34.851612
Hamza Murtaja,Palestine,Confirmed,Record Media,"August 20, 2024",Killed,Journalist,31.046051,34.851612
Hanan Adam,Sudan,Confirmed,Al-Midan,"December 8, 2024",Killed,Journalist,12.862807,30.217636
Haneen Baroud,Palestine,Confirmed,Al Majedat Media Network,"October 27, 2024",Killed,Journalist,31.046051,34.851612
Hasan Mehedi,Bangladesh,Confirmed,Dhaka Times,"July 18, 2024",Killed,Journalist,23.685,90.3563
Heba Al-Abadla,Palestine,Confirmed,Al-Azhar Radio,"January 9, 2024",Killed,Journalist,31.046051,34.851612
Hero Bahadin,Iraq,Confirmed,"Chatr Multimedia Production Company, Sterk TV","August 22, 2024",Killed,Journalist,33.3152,44.3661
Htet Myat Thu,Myanmar,Confirmed,Freelance,"August 20, 2024",Killed,Journalist,21.913965,95.956223
Hussam al-Dabbaka,Palestine,Confirmed,"Freelance, Al Quds Al-Youm","August 22, 2024",Killed,Journalist,31.046051,34.851612
Ibrahim Abdallah (Ibrahim Showtime),Sudan,Confirmed,Freelance,"June 28, 2024",Killed,Journalist,12.862807,30.217636
Ibrahim Al-Gharbawi,Palestine,Confirmed,Freelance,"April 26, 2024",Killed,Journalist,31.046051,34.851612
Ibrahim Muhareb,Palestine,Confirmed,Freelance,"August 18, 2024",Killed,Journalist,31.046051,34.851612
Ibrahim Sheikh Ali,Palestine,Confirmed,Al-Quds Al-Youm TV,"December 26, 2024",Killed,Media Worker,31.046051,34.851612
Iman Al Shanti,Palestine,Confirmed,Freelance,"December 11, 2024",Killed,Journalist,31.046051,34.851612
Ismail Al Ghoul,Palestine,Confirmed,Al Jazeera Arabic,"July 31, 2024",Killed,Journalist,31.046051,34.851612
Iyad El-Ruwagh,Palestine,Confirmed,Al-Aqsa Voice Radio,"January 25, 2024",Killed,Journalist,31.046051,34.851612
Jihan Belkin,Syria,Confirmed,Hawar News Agency (ANHA),"December 19, 2024",Killed,Journalist,34.802075,38.996815
Jimmy Jean,Haiti,Confirmed,Moun Afe Bon,"December 24, 2024",Killed,Journalist,18.971187,-72.285215
Kamran Dawar,Pakistan,Confirmed,"Freelance, Waziristan TV","May 21, 2024",Killed,Journalist,30.3753,69.3451
Khalid Balal,Sudan,Confirmed,Supreme Council for Media and Culture,"March 1, 2024",Killed,Media Worker,12.862807,30.217636
Khalil Jibran,Pakistan,Confirmed,Khyber News,"June 18, 2024",Killed,Journalist,30.3753,69.3451
Kolawole Omoniyi,Nigeria,Confirmed,Freelance,"October 8, 2024",Killed,Journalist,9.081999,8.675277
Luis Alonso Teruel,Honduras,Unconfirmed,Pecaligüe TV,"January 28, 2024",Killed,Journalist,15.199999,-86.241905
Mahdi Al-Mamluk,Palestine,Confirmed,Al-Quds Al-Youm TV,"November 11, 2024",Killed,Media Worker,31.046051,34.851612
